episode,state,action,agent_rule,env_rule,cum_return
1,"((1, 2, 3), 2, 1)",0,2,2,-6
1,"((3, 1, 0), 3, 0)",0,3,2,-7
1,"((0, 2, 3), 1, 0)",1,1,2,-8
1,"((2, 0, 3), 0, 0)",0,0,2,-9
1,"((2, 0, 3), 3, 0)",1,3,2,-10
1,"((3, 2, 1), 0, 0)",2,0,2,-11
1,"((2, 0, 3), 2, 1)",1,2,2,-10
1,"((0, 3, 1), 1, 0)",0,1,2,-11
1,"((3, 1, 0), 0, 0)",0,0,2,-12
1,"((1, 3, 2), 1, 0)",1,1,2,-13
1,"((2, 0, 1), 0, 0)",1,0,2,-14
1,"((0, 3, 1), 2, 1)",1,2,2,-13
1,"((2, 0, 3), 0, 0)",0,0,2,-14
1,"((1, 0, 3), 0, 0)",2,0,2,-15
1,"((3, 0, 1), 1, 0)",0,1,2,-16
1,"((1, 2, 0), 2, 1)",1,2,2,-15
1,"((1, 3, 0), 2, 2)",0,2,2,-14
1,"((1, 0, 2), 2, 3)",0,2,1,-13
1,"((0, 3, 2), 1, 4)",0,1,1,-12
1,"((3, 1, 2), 0, 0)",0,0,1,-13
1,"((2, 3, 0), 1, 1)",1,1,1,-12
1,"((0, 1, 2), 2, 0)",0,2,1,-13
1,"((1, 0, 3), 0, 0)",0,0,1,-14
1,"((1, 0, 3), 0, 0)",1,0,1,-15
1,"((2, 0, 3), 3, 0)",2,3,1,-16
1,"((0, 2, 3), 2, 0)",3,2,1,-17
1,"((2, 3, 0), 1, 1)",2,1,1,-16
1,"((3, 0, 2), 0, 0)",2,0,1,-17
1,"((1, 2, 3), 1, 1)",0,1,1,-16
1,"((2, 3, 0), 1, 2)",2,1,0,-15
1,"((0, 1, 3), 3, 0)",1,3,0,-16
1,"((0, 1, 3), 1, 0)",1,1,0,-17
1,"((0, 1, 2), 1, 0)",1,1,0,-18
1,"((2, 1, 3), 0, 1)",0,0,0,-17
1,"((1, 3, 0), 0, 2)",2,0,0,-16
1,"((2, 0, 1), 2, 0)",0,2,0,-17
1,"((0, 2, 3), 0, 1)",2,0,0,-16
1,"((2, 0, 1), 0, 2)",0,0,0,-15
1,"((3, 2, 1), 2, 0)",1,2,0,-16
1,"((2, 3, 0), 1, 0)",2,1,0,-17
1,"((0, 1, 3), 0, 1)",2,0,0,-16
1,"((3, 1, 2), 0, 2)",0,0,0,-15
1,"((0, 1, 2), 1, 0)",1,1,0,-16
1,"((3, 0, 1), 0, 1)",0,0,0,-15
1,"((2, 1, 0), 1, 0)",0,1,0,-16
1,"((1, 2, 0), 2, 0)",0,2,0,-17
1,"((3, 1, 2), 1, 0)",2,1,0,-18
1,"((2, 3, 1), 0, 1)",3,0,0,-17
1,"((0, 3, 1), 3, 0)",0,3,0,-18
1,"((0, 2, 1), 2, 0)",1,2,0,-19
1,"((3, 1, 0), 1, 0)",2,1,0,-20
1,"((2, 0, 1), 2, 0)",0,2,0,-21
1,"((0, 1, 2), 0, 1)",2,0,0,-20
1,"((1, 0, 3), 0, 2)",0,0,0,-19
1,"((3, 2, 1), 1, 0)",0,1,0,-20
1,"((1, 2, 0), 2, 0)",1,2,0,-21
1,"((2, 0, 1), 3, 0)",3,3,0,-22
1,"((1, 3, 0), 0, 1)",2,0,0,-21
1,"((2, 0, 3), 0, 2)",1,0,2,-20
1,"((0, 2, 1), 1, 0)",0,1,2,-21
1,"((1, 0, 3), 0, 0)",0,0,2,-22
1,"((3, 0, 1), 2, 1)",3,2,2,-21
1,"((0, 1, 3), 1, 0)",0,1,2,-22
1,"((1, 2, 3), 3, 0)",2,3,2,-23
1,"((1, 3, 0), 0, 0)",1,0,2,-24
1,"((1, 3, 0), 0, 0)",1,0,2,-25
1,"((2, 3, 1), 3, 0)",2,3,2,-26
1,"((0, 3, 2), 1, 0)",3,1,2,-27
1,"((2, 0, 1), 0, 0)",0,0,2,-28
1,"((2, 1, 3), 2, 1)",1,2,2,-27
1,"((2, 1, 0), 1, 0)",1,1,2,-28
1,"((0, 3, 1), 1, 0)",1,1,2,-29
1,"((0, 1, 2), 0, 0)",0,0,2,-30
1,"((1, 3, 0), 1, 0)",1,1,2,-31
1,"((3, 2, 1), 0, 0)",1,0,2,-32
1,"((3, 0, 1), 2, 1)",1,2,2,-31
1,"((2, 3, 1), 2, 2)",1,2,2,-30
1,"((3, 2, 1), 3, 0)",0,3,2,-31
1,"((1, 2, 0), 2, 1)",1,2,2,-30
1,"((2, 0, 3), 2, 2)",0,2,2,-29
1,"((0, 1, 3), 1, 0)",0,1,2,-30
1,"((1, 2, 3), 2, 1)",3,2,2,-29
1,"((1, 0, 2), 0, 0)",1,0,2,-30
1,"((3, 0, 2), 1, 0)",0,1,2,-31
1,"((3, 2, 1), 3, 0)",1,3,2,-32
1,"((3, 0, 1), 2, 1)",1,2,2,-31
1,"((1, 0, 2), 2, 2)",1,2,0,-30
1,"((3, 2, 1), 1, 0)",0,1,0,-31
1,"((2, 0, 3), 1, 0)",2,1,0,-32
1,"((3, 0, 2), 1, 0)",0,1,0,-33
1,"((2, 3, 0), 2, 0)",2,2,0,-34
1,"((2, 3, 1), 0, 1)",2,0,0,-33
1,"((0, 2, 3), 2, 0)",1,2,0,-34
1,"((3, 2, 0), 1, 0)",2,1,0,-35
1,"((0, 1, 3), 1, 0)",2,1,0,-36
1,"((3, 0, 1), 2, 0)",3,2,0,-37
1,"((0, 3, 1), 1, 0)",0,1,0,-38
1,"((2, 1, 0), 2, 0)",1,2,0,-39
1,"((2, 1, 3), 1, 0)",1,1,0,-40
1,"((2, 3, 0), 3, 0)",0,3,0,-41
1,"((2, 0, 1), 0, 1)",2,0,0,-40
1,"((1, 2, 0), 1, 0)",0,1,0,-41
1,"((2, 1, 3), 1, 0)",2,1,0,-42
1,"((3, 1, 2), 1, 0)",1,1,0,-43
1,"((0, 3, 2), 0, 1)",3,0,0,-42
1,"((1, 2, 3), 0, 2)",0,0,0,-41
1,"((0, 1, 3), 3, 0)",0,3,0,-42
1,"((0, 2, 1), 3, 0)",2,3,0,-43
1,"((2, 0, 3), 2, 0)",1,2,0,-44
1,"((3, 2, 0), 3, 0)",1,3,0,-45
1,"((1, 0, 2), 3, 0)",1,3,0,-46
1,"((1, 3, 2), 0, 1)",1,0,0,-45
1,"((1, 2, 3), 0, 2)",1,0,1,-44
1,"((1, 0, 3), 0, 0)",1,0,1,-45
1,"((2, 3, 1), 2, 0)",3,2,1,-46
1,"((3, 0, 1), 1, 1)",3,1,1,-45
1,"((2, 0, 1), 1, 2)",0,1,2,-44
1,"((3, 0, 2), 1, 0)",0,1,2,-45
1,"((3, 1, 2), 0, 0)",3,0,2,-46
1,"((3, 2, 1), 1, 0)",1,1,2,-47
1,"((3, 0, 2), 0, 0)",3,0,2,-48
1,"((0, 1, 2), 1, 0)",0,1,2,-49
1,"((1, 3, 0), 0, 0)",0,0,2,-50
1,"((2, 3, 0), 1, 0)",3,1,2,-51
1,"((1, 0, 2), 0, 0)",2,0,2,-52
1,"((1, 3, 2), 0, 0)",1,0,2,-53
1,"((1, 3, 0), 2, 1)",2,2,2,-52
1,"((3, 1, 0), 2, 2)",0,2,2,-51
1,"((0, 1, 2), 2, 3)",0,2,1,-50
1,"((1, 2, 0), 0, 0)",0,0,1,-51
1,"((2, 1, 3), 1, 1)",2,1,1,-50
1,"((2, 0, 1), 1, 2)",1,1,0,-49
1,"((0, 1, 2), 2, 0)",1,2,0,-50
1,"((3, 1, 2), 0, 1)",0,0,0,-49
1,"((3, 0, 2), 1, 0)",1,1,0,-50
1,"((2, 1, 0), 1, 0)",0,1,0,-51
1,"((3, 2, 0), 0, 1)",2,0,0,-50
1,"((0, 1, 2), 2, 0)",0,2,0,-51
1,"((2, 0, 1), 0, 1)",0,0,0,-50
1,"((2, 0, 3), 2, 0)",1,2,0,-51
1,"((1, 3, 2), 0, 1)",2,0,0,-50
1,"((1, 0, 3), 0, 2)",1,0,0,-49
1,"((0, 1, 3), 0, 3)",1,0,2,-48
1,"((1, 0, 2), 0, 0)",0,0,2,-49
1,"((1, 2, 0), 2, 1)",2,2,2,-48
1,"((2, 1, 3), 2, 2)",0,2,2,-47
1,"((3, 2, 0), 3, 0)",0,3,2,-48
1,"((2, 3, 1), 1, 0)",2,1,2,-49
1,"((0, 2, 1), 0, 0)",2,0,2,-50
1,"((1, 2, 0), 1, 0)",2,1,2,-51
1,"((3, 0, 1), 3, 0)",3,3,2,-52
1,"((1, 0, 2), 0, 0)",3,0,2,-53
1,"((1, 2, 0), 2, 1)",2,2,2,-52
1,"((0, 2, 3), 2, 2)",0,2,2,-51
1,"((0, 1, 2), 0, 0)",0,0,2,-52
1,"((1, 2, 0), 2, 1)",2,2,2,-51
1,"((2, 1, 0), 0, 0)",1,0,2,-52
1,"((2, 0, 3), 1, 0)",1,1,2,-53
1,"((0, 1, 3), 3, 0)",1,3,2,-54
1,"((2, 0, 1), 2, 1)",3,2,2,-53
1,"((2, 0, 1), 1, 0)",0,1,2,-54
1,"((3, 0, 1), 1, 0)",0,1,2,-55
1,"((0, 3, 2), 2, 1)",1,2,2,-54
1,"((3, 2, 0), 0, 0)",0,0,2,-55
1,"((3, 0, 2), 1, 0)",2,1,2,-56
1,"((0, 1, 3), 3, 0)",1,3,2,-57
1,"((1, 2, 3), 2, 1)",3,2,2,-56
1,"((1, 0, 3), 1, 0)",2,1,2,-57
1,"((1, 0, 2), 1, 0)",0,1,2,-58
1,"((2, 3, 0), 1, 0)",0,1,2,-59
1,"((3, 2, 1), 1, 0)",3,1,2,-60
1,"((2, 1, 0), 2, 1)",1,2,2,-59
1,"((2, 3, 0), 2, 2)",0,2,2,-58
1,"((2, 0, 1), 3, 0)",1,3,2,-59
1,"((1, 2, 3), 0, 0)",2,0,2,-60
1,"((2, 3, 1), 1, 0)",2,1,2,-61
1,"((3, 1, 0), 1, 0)",3,1,2,-62
1,"((2, 1, 3), 2, 1)",0,2,2,-61
1,"((2, 0, 1), 0, 0)",2,0,2,-62
1,"((2, 3, 0), 2, 1)",1,2,2,-61
1,"((3, 1, 2), 2, 2)",0,2,0,-60
1,"((2, 3, 1), 3, 0)",0,3,0,-61
1,"((0, 1, 2), 1, 0)",3,1,0,-62
1,"((0, 2, 1), 0, 1)",0,0,0,-61
1,"((2, 1, 3), 0, 2)",0,0,0,-60
1,"((3, 1, 2), 3, 0)",0,3,0,-61
1,"((2, 1, 0), 2, 0)",2,2,0,-62
1,"((1, 2, 3), 0, 1)",2,0,0,-61
1,"((2, 0, 1), 3, 0)",0,3,0,-62
1,"((3, 2, 1), 3, 0)",3,3,0,-63
1,"((3, 0, 2), 2, 0)",1,2,0,-64
1,"((3, 1, 2), 3, 0)",1,3,0,-65
1,"((3, 2, 0), 0, 1)",3,0,0,-64
1,"((2, 0, 3), 3, 0)",1,3,0,-65
1,"((3, 1, 2), 1, 0)",0,1,0,-66
1,"((1, 2, 0), 0, 1)",3,0,0,-65
1,"((3, 0, 2), 2, 0)",0,2,0,-66
1,"((2, 0, 1), 2, 0)",2,2,0,-67
1,"((1, 0, 2), 0, 1)",2,0,0,-66
1,"((2, 1, 0), 1, 0)",0,1,0,-67
1,"((0, 3, 2), 0, 1)",2,0,0,-66
1,"((2, 3, 0), 0, 2)",0,0,1,-65
1,"((3, 1, 2), 2, 0)",0,2,1,-66
1,"((1, 0, 2), 1, 1)",1,1,1,-65
1,"((2, 0, 3), 1, 2)",0,1,2,-64
1,"((0, 3, 1), 3, 0)",1,3,2,-65
1,"((0, 2, 3), 3, 0)",2,3,2,-66
1,"((2, 1, 3), 0, 0)",0,0,2,-67
1,"((0, 2, 1), 1, 0)",1,1,2,-68
1,"((3, 0, 1), 2, 1)",1,2,2,-67
1,"((3, 2, 1), 2, 2)",1,2,2,-66
1,"((3, 0, 1), 3, 0)",0,3,2,-67
1,"((1, 3, 2), 0, 0)",3,0,2,-68
1,"((2, 0, 3), 2, 1)",2,2,2,-67
1,"((3, 2, 1), 0, 0)",2,0,2,-68
1,"((2, 0, 3), 2, 1)",1,2,2,-67
1,"((1, 3, 0), 3, 0)",1,3,2,-68
1,"((1, 0, 2), 1, 0)",3,1,2,-69
1,"((3, 2, 0), 0, 0)",1,0,2,-70
1,"((2, 0, 3), 0, 0)",3,0,2,-71
1,"((1, 2, 3), 2, 1)",3,2,2,-70
1,"((2, 0, 3), 2, 2)",3,2,0,-69
1,"((1, 0, 2), 3, 0)",1,3,0,-70
1,"((0, 3, 2), 0, 1)",1,0,0,-69
1,"((3, 1, 0), 0, 2)",0,0,0,-68
